iter	Passed	Remaining
609	18191	11630
610	18217	11598
611	18242	11565
612	18266	11531
613	18290	11498
614	18317	11467
615	18344	11435
616	18369	11402
617	18393	11369
618	18418	11336
619	18443	11303
620	18473	11274
621	18505	11246
622	18533	11215
623	18561	11184
624	18604	11162
625	18641	11137
626	18675	11109
627	18707	11081
628	18737	11052
629	18767	11022
630	18798	10993
631	18828	10963
632	18861	10935
633	18888	10904
634	18913	10871
635	18939	10839
636	18965	10807
637	18990	10775
638	19015	10742
639	19040	10710
640	19067	10678
641	19093	10647
642	19120	10615
643	19144	10582
644	19171	10551
645	19194	10518
646	19219	10486
647	19244	10453
648	19269	10421
649	19296	10390
650	19322	10358
651	19351	10328
652	19381	10299
653	19411	10269
654	19445	10242
655	19477	10213
656	19507	10184
657	19537	10154
658	19568	10125
659	19610	10102
660	19644	10074
661	19673	10044
662	19701	10014
663	19728	9982
664	19755	9951
665	19789	9924
666	19815	9893
667	19843	9862
668	19875	9833
669	19904	9803
670	19930	9772
671	19960	9742
672	19988	9712
673	20015	9681
674	20044	9651
675	20071	9620
676	20105	9592
677	20139	9564
678	20173	9537
679	20205	9508
680	20235	9479
681	20265	9449
682	20297	9420
683	20328	9391
684	20356	9361
685	20381	9329
686	20408	9298
687	20436	9267
688	20462	9236
689	20491	9206
690	20518	9175
691	20550	9146
692	20576	9115
693	20609	9087
694	20637	9056
695	20664	9025
696	20692	8995
697	20718	8964
698	20742	8931
699	20767	8900
700	20792	8868
701	20817	8837
702	20847	8807
703	20872	8776
704	20897	8744
705	20923	8712
706	20951	8682
707	20976	8651
708	21001	8619
709	21026	8588
710	21053	8557
711	21079	8526
712	21106	8495
713	21132	8464
714	21157	8433
715	21182	8402
716	21208	8370
717	21233	8339
718	21261	8309
719	21291	8279
720	21327	8253
721	21362	8225
722	21394	8196
723	21425	8167
724	21457	8138
725	21488	8109
726	21516	8079
727	21547	8050
728	21578	8021
729	21608	7992
730	21634	7961
731	21666	7932
732	21694	7902
733	21722	7872
734	21746	7840
735	21772	7809
736	21798	7778
737	21825	7748
738	21853	7718
739	21878	7687
740	21902	7655
741	21927	7624
742	21952	7593
743	21976	7561
744	22000	7530
745	22026	7499
746	22051	7468
747	22075	7437
748	22101	7406
749	22127	7375
750	22154	7345
751	22178	7314
752	22204	7283
753	22228	7252
754	22255	7221
755	22281	7191
756	22306	7160
757	22334	7130
758	22364	7101
759	22394	7072
760	22429	7044
761	22461	7015
762	22490	6986
763	22524	6957
764	22554	6928
765	22582	6898
766	22614	6869
767	22644	6840
768	22670	6809
769	22695	6779
770	22722	6748
771	22748	6718
772	22777	6688
773	22802	6658
774	22828	6627
775	22855	6597
776	22880	6566
777	22903	6535
778	22929	6505
779	22954	6474
780	22979	6443
781	23003	6412
782	23027	6381
783	23052	6351
784	23077	6320
785	23102	6290
786	23127	6259
787	23151	6228
788	23176	6197
789	23200	6167
790	23226	6136
791	23250	6106
792	23280	6077
793	23306	6046
794	23332	6016
795	23365	5988
796	23396	5959
797	23426	5929
798	23456	5900
799	23488	5872
800	23520	5843
801	23550	5814
802	23582	5785
803	23611	5756
804	23640	5726
805	23685	5700
806	23716	5672
807	23749	5643
808	23803	5619
809	23851	5594
810	23877	5564
811	23909	5535
812	23935	5505
813	23959	5474
814	23992	5446
815	24021	5416
816	24050	5387
817	24075	5356
818	24101	5326
819	24126	5296
820	24151	5265
821	24176	5235
822	24201	5205
823	24229	5175
824	24264	5146
825	24297	5118
826	24326	5088
827	24359	5060
828	24389	5030
829	24420	5001
830	24449	4972
831	24481	4943
832	24509	4913
833	24539	4884
834	24567	4854
835	24592	4824
836	24618	4794
837	24644	4764
838	24674	4734
839	24697	4704
840	24723	4674
841	24749	4644
842	24778	4614
843	24803	4584
844	24828	4554
845	24851	4523
846	24879	4494
847	24904	4463
848	24930	4434
849	24955	4403
850	24985	4374
851	25015	4345
852	25046	4316
853	25077	4287
854	25109	4258
855	25140	4229
856	25168	4199
857	25198	4170
858	25229	4141
859	25257	4111
860	25289	4082
861	25315	4052
862	25345	4023
863	25372	3993
864	25397	3963
865	25424	3934
866	25451	3904
867	25476	3874
868	25501	3844
869	25526	3814
870	25553	3784
871	25578	3754
872	25604	3724
873	25628	3694
874	25653	3664
875	25677	3634
876	25703	3604
877	25732	3575
878	25758	3545
879	25788	3516
880	25819	3487
881	25849	3458
882	25882	3429
883	25912	3400
884	25942	3371
885	25974	3342
886	26007	3313
887	26037	3284
888	26064	3254
889	26090	3224
890	26116	3194
891	26143	3165
892	26169	3135
893	26195	3106
894	26221	3076
895	26246	3046
896	26274	3017
897	26300	2987
898	26326	2957
899	26349	2927
900	26372	2897
901	26397	2868
902	26422	2838
903	26447	2808
904	26473	2778
905	26500	2749
906	26528	2720
907	26554	2690
908	26578	2660
909	26608	2631
910	26633	2601
911	26659	2572
912	26684	2542
913	26710	2513
914	26739	2484
915	26775	2455
916	26808	2426
917	26839	2397
918	26870	2368
919	26900	2339
920	26929	2309
921	26959	2280
922	26991	2251
923	27023	2222
924	27052	2193
925	27078	2163
926	27105	2134
927	27132	2105
928	27158	2075
929	27185	2046
930	27211	2016
931	27237	1987
932	27266	1958
933	27292	1928
934	27317	1899
935	27343	1869
936	27368	1840
937	27396	1810
938	27420	1781
939	27444	1751
940	27470	1722
941	27495	1692
942	27524	1663
943	27554	1634
944	27580	1605
945	27606	1575
946	27633	1546
947	27660	1517
948	27686	1487
949	27712	1458
950	27740	1429
951	27780	1400
952	27815	1371
953	27847	1342
954	27875	1313
955	27902	1284
956	27933	1255
957	27962	1225
958	27994	1196
959	28024	1167
960	28055	1138
961	28082	1109
962	28110	1080
963	28136	1050
964	28161	1021
965	28188	992
966	28215	962
967	28246	933
968	28273	904
969	28297	875
970	28323	845
971	28349	816
972	28379	787
973	28403	758
974	28429	728
975	28455	699
976	28486	670
977	28516	641
978	28541	612
979	28566	582
980	28592	553
981	28617	524
982	28644	495
983	28670	466
984	28695	436
985	28722	407
986	28754	378
987	28793	349
988	28825	320
989	28855	291
990	28882	262
991	28913	233
992	28942	204
993	28973	174
994	29001	145
995	29034	116
996	29059	87
997	29085	58
998	29111	29
999	29137	0
