iter	MultiClass
0	2.642978944
1	2.245164224
2	1.978543906
3	1.776053144
4	1.586659392
5	1.45007206
6	1.308846972
7	1.207697869
8	1.107919631
9	1.022570964
10	0.9469835475
11	0.8843798648
12	0.822258499
13	0.7653332129
14	0.7146539062
15	0.6689533633
16	0.6276061867
17	0.5945973202
18	0.5610818412
19	0.5266592368
20	0.5001238304
21	0.4766395494
22	0.4528435596
23	0.4309292651
24	0.4119688702
25	0.3918135792
26	0.3749530313
27	0.3569723318
28	0.3414360195
29	0.3252018888
30	0.3106024581
31	0.2965115652
32	0.2845368208
33	0.272628569
34	0.2621646951
35	0.2517942748
36	0.2427508011
37	0.2340285735
38	0.2251904027
39	0.2182098934
40	0.2108416009
41	0.2037257368
42	0.1968400975
43	0.1902286879
44	0.1840817115
45	0.1783490458
46	0.1725616899
47	0.1677240813
48	0.1627187658
49	0.1576056425
50	0.1533180384
51	0.1490036502
52	0.1446225898
53	0.1404011106
54	0.1361671471
55	0.1327623421
56	0.1300303365
57	0.1270859285
58	0.1243394564
59	0.1214041066
60	0.1188234474
61	0.1160064805
62	0.1128830833
63	0.1106028873
64	0.1077769547
65	0.1053741604
66	0.1032224281
67	0.1009092737
68	0.09864868709
69	0.09656653833
70	0.09464449611
71	0.09307186548
72	0.09135934647
73	0.08949065243
74	0.08766524556
75	0.08593527431
76	0.08403581505
77	0.08270351588
78	0.08110069154
79	0.07984104585
80	0.07837547069
81	0.07710894131
82	0.07606148706
83	0.07503964676
84	0.07387289473
85	0.07279745681
86	0.07149163682
87	0.07045746281
88	0.06948402673
89	0.06836338287
90	0.06730954214
91	0.06619931675
92	0.06486130716
93	0.06376998877
94	0.06265437572
95	0.06198676996
96	0.06090555905
97	0.06008081183
98	0.05895296494
99	0.05826110521
100	0.05757098243
101	0.05694772692
102	0.05636477755
103	0.05561080756
104	0.05487970511
105	0.05422338379
106	0.05356418431
107	0.05284460409
108	0.05190167034
109	0.05096122141
110	0.05032207947
111	0.0496278397
112	0.04919009613
113	0.04871997529
114	0.04818205507
115	0.04782445383
116	0.04718819734
117	0.04678692689
118	0.04634726004
119	0.0456975764
120	0.0453024229
121	0.04481179734
122	0.04424847983
123	0.04387651944
124	0.04344156042
125	0.04299991748
126	0.0425730399
127	0.04215023575
128	0.04178586728
129	0.04139844862
130	0.04082354973
131	0.04048680923
132	0.04005142564
133	0.03972628699
134	0.03941995582
135	0.03909891611
136	0.03876850085
137	0.03833360604
138	0.03781373214
139	0.03749475022
140	0.03716311424
141	0.03681129057
142	0.03650967275
143	0.03618926315
144	0.03587630945
145	0.0355582551
146	0.03529162199
147	0.03502080021
148	0.03473557436
149	0.03447952168
150	0.0341762831
151	0.0339856039
152	0.03378520536
153	0.03351576785
154	0.03329091785
155	0.03293950605
156	0.03260120833
